file,sex,age,speaker
sofia/0_f_25.wav,f,25,sofia_0_f_25
sofia/1_m_30.wav,m,30,sofia_1_m_30
sofia/2_f_52.wav,f,52,sofia_2_f_52
sofia/3_m_54.wav,m,54,sofia_3_m_54
sofia/4_f_35.wav,f,35,sofia_4_f_35
sofia/5_f_67.wav,f,67,sofia_5_f_67
sofia/6_f_37.wav,f,37,sofia_6_f_37
sofia/7_f_46.wav,f,46,sofia_7_f_46
sofia/8_m_39.wav,m,39,sofia_8_m_39
sofia/9_f_93.wav,f,93,sofia_9_f_93
sonja/01_f_31.wav,f,31,sonja_01_f_31
sonja/02_m_11.wav,m,11,sonja_02_m_11
sonja/03_m_50.wav,m,50,sonja_03_m_50
sonja/04_f_102.wav,f,102,sonja_04_f_102
sonja/05_m_40.wav,m,40,sonja_05_m_40
sonja/06_m_70.wav,m,70,sonja_06_m_70
sonja/07_m_29.wav,m,29,sonja_07_m_29
sonja/08_f_23.wav,f,23,sonja_08_f_23
sonja/09_m_52.wav,m,52,sonja_09_m_52
sonja/10_f_71.wav,f,71,sonja_10_f_71
nadja/1_f_49.wav,f,49,nadja_1_f_49
nadja/2_f_96.wav,f,96,nadja_2_f_96
nadja/3_m_31.wav,m,31,nadja_3_m_31
nadja/4_m_34.wav,m,34,nadja_4_m_34
nadja/5_m_39.wav,m,39,nadja_5_m_39
nadja/6_m_46.wav,m,46,nadja_6_m_46
nadja/7_m_60.wav,m,60,nadja_7_m_60
nadja/8_m_77.wav,m,77,nadja_8_m_77
nadja/9_m_81.wav,m,81,nadja_9_m_81
bruno/1_m_53.wav,m,53,bruno_1_m_53
bruno/2_f_26.wav,f,26,bruno_2_f_26
bruno/3_f_26.wav,f,26,bruno_3_f_26
bruno/4_m_45.wav,m,45,bruno_4_m_45
bruno/5_f_23.wav,f,23,bruno_5_f_23
bruno/6_m_36.wav,m,36,bruno_6_m_36
bruno/7_f_24.wav,f,23,bruno_7_f_24
bruno/8_m_24.wav,m,24,bruno_8_m_24
bruno/9_m_27.wav,f,27,bruno_9_m_27
bruno/10_f_26.wav,f,26,bruno_10_f_26
pepe/Pepe1_M_23.wav,m,23,Pepe1_M_23
pepe/Pepe2_M_39.wav,m,39,Pepe1_M_39
pepe/Pepe3_M_42.wav,m,42,Pepe1_M_42
pepe/Pepe4_M_44.wav,m,44,Pepe1_M_44
pepe/Pepe5_M_60.wav,m,60,Pepe1_M_60
pepe/Pepe6_M_61.wav,m,61,Pepe1_M_61
pepe/Pepe7_W_22.wav,f,22,Pepe1_W_22
pepe/Pepe8_W_30.wav,f,30,Pepe1_W_30
pepe/Pepe9_W_31.wav,f,31,Pepe1_W_31
pepe/Pepe10_W_53.wav,f,53,Pepe1_W_53
